Contributer's Twitter,Name,Address,City,State,Postcode,lat,long,Country,Wifi Password,Outlets,Couch,Large Table,Brewing,Outdoor Seating,hexcolor
nullvariable,Coffee Underground,1 E Coffee St,Greenville,SC ,29601,34.851625,-82.398225,USA,with order,Yes,Yes,Yes,"Coffee, Tea",No,
nullvariable,OpenWorks,2 N Main,Greenville,SC ,29601,34.850807,-82.398571,USA,see whiteboard,Yes,Yes,Yes,n/a,No,
samirfors,Chokladbollen,St Eriksgatan 92,Stockholm,Sweden,,59.341669,18.038259,Sweden,chokladbollen,yes,yes,yes,in house,yes,#B9FCFF
_jden,The 4th Floor,1001 Broad St,Chattanooga,TN,37401,35.04563,-85.30968,USA,none,yes,yes,yes,,no,#5bb700
justinthrelkeld,Reveille Joe,113 Maple St,Murfreesboro,TN,,35.846667,-86.39266,USA,GeorgeSPatton1885,yes,yes,yes,,usually,#1DADEB
minikomi,ON THE CORNER NO.8 BEAR POND,1-17-1 Shibuya,Shibuya,Tokyo,151-0002,35.661534,139.703028,Japan,Free wifi,Yes,Yes,no,In-house,no,#B9FCFF
hughskennedy,Cafe Medici,200 N Congress Ave,Austin,TX,78701,30.264778,-97.744552,USA,coffeecoffee,Yes,Yes,No,"Coffee, Tea",No,
paulmdavis,Cenote,1010 E Cesar Chavez St,Austin,TX,,30.260562,-97.733659,USA,coolbeans,yes,yes,no,Cuvee,Yes,#B9FCFC
kwuchu,Epoch Coffee,221 W North Loop Blvd,Austin,TX,78751,30.26715,-97.74306,USA,Free Wifi,Yes,Yes,Yes,,,#915C11
chethusk,Strange Brew,5326 Manchaca Rd,Austin,TX,,30.217836,-97.796096,USA,listed inside,Yes,No,Yes,"Cuvee, Texas Roasters",No,#B9FCFC
jllord,Curio Cabal,258 Kingsland Rd,London,UK,E8 4DG,51.537859,-0.07625,UK,CurioCabal,yes,no,yes,,yes,#B78DF2
hughskennedy,Revolver Coffee,Jalan Kayu Aya No. 50,Kuta,Bali,80361,-8.684173,115.15823,Indonesia,,Yes,Yes,No,"Coffee, cakes",No,
jllord,Look Mum No Hands,125-127 Mare St,London,UK,E8 3RH,51.53944,-0.056315,UK,handlebars,yes,no,yes,,no,#B9FCFF
kathleenld,Street Coffee,163 Bermondsey Street,London,UK,SE1 3UW,51.499374,-0.081211,UK,,yes,yes,,,sometimes,#B9FCFF
mattmakesmaps,Milstead,770 N 34th St,Seattle,WA,,47.649436,-122.347729,USA,deatslim,yes,no,yes,"Stumptown, Intelligentsia, Coava",yes,#B9FCFC
spidler,De Klomp,S:T Larsgatan 13,Linköping,,582 24,58.413707,15.623648,Sweden,No password,Yes,Yes,Yes,"Beer, Coffee, Tea","Yes, Summertime",#ffc842
adamjacobbecker,Forge and Co,154 Shoreditch High Street,London,,E1 6HD,51.526419,-0.078053,UK,forgeandco,Yes,Yes,Yes,"Coffee, Tea, Food, Alcohol",No,
albertorestifo,Arnold Coffee,Via Orefici 26,Milano,,20123,45.46465,9.187008,Italy,Free WiFi,No,Yes,Yes,Starbuks style,No,#915C11
muanchiou,Fika Fika Cafe,33 Yitong St,Taipei,,104,25.0491172,121.5332488,Taiwan,25070633,Top level seating,No,Yes,"Coffee, Tea, Food, Dessert",Yes,#E2FA08
muanchiou,Frog Kichen,13 Sec. 1 Dihua Street,Taipei,,103,25.0541999,121.510284,Taiwan,1234567890,Yes,No,No,"Coffee, Tea, Food",Yes,#E2FA08
muanchiou,Shotsmrkt,213 Songxin Road,Taipei,,110,25.0416479,121.572137,Taiwan,Pretty sure it's songxin213,Yes for NTD $30,Kind of,Kind of,"Coffee, Tea, Snack",Kind of,#E2FA08
mattmckegg,Homies Cozy Teahouse,96 Manners Street,Wellington,,6011,-41.2910767,174.7766748,New Zealand,listed inside,yes,yes,yes,"Espresso, Coffee, Tea",no,#a0ff2e
iamrphy,Philz Coffee,525 Santa Monica Blvd,Los Angeles,CA,90401,34.017951,-118.493567,USA,,yes,yes,yes,"Mint Mojito, Coffee, Tea",no,
Zackery_Harley,CRAVE Coffee House & Bakery,166 Princess St,Kingston,ON,K7L 1B1,44.2317688,-76.4869112,Canada,listed inside,yes,no,Yes,"Coffee, Tea, Food, Dessert",no,
